Green Park Care Center Engine (2 MUs, 2 PUs), Green Park Care Center Engine 1, Green Park Care Center Engine 2
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 to the number of Valid Monitoring Units; Data Quality Level of 1 - Data Exists
07/03/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/04/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/05/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/06/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/07/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/08/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/09/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/10/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  05:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  06:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  07:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  08:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  09:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  10:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  11:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  12:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  13:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  14:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  15:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  16:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  17:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  18:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  19:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  20:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  21:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  22:00:00,        0.00,        0.00,        0.00,        0.00
07/11/2003,  23:00:00,        0.00,        0.00,        0.00,        0.00
07/12/2003,  00:00:00,        0.00,        0.00,        0.00,        0.00
07/12/2003,  01:00:00,        0.00,        0.00,        0.00,        0.00
07/12/2003,  02:00:00,        0.00,        0.00,        0.00,        0.00
07/12/2003,  03:00:00,        0.00,        0.00,        0.00,        0.00
07/12/2003,  04:00:00,        0.00,        0.00,        0.00,        0.00
